object_id,display_template,title,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,creator,note,call_number,,
buch_062,record,Rosen und Vergissmeinnicht ,,White paper with blue decorative design over boards; gilt edges. ,1840,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays.,,,"Heller, R; Müller, W.; Storch, L.",,PT19.R8 v14,,
buch_063,record,Rosen und Vergissmeinnicht ,,Partially rebound 1/4 green cloth with white paper with blue decorative design over boards. ,1841,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; historical stories. ,,,"Günther, F.; Heller; v. Gusek.",,PT19.R8 v15,,
buch_064,record,Rosen und Vergissmeinnicht ,,White paper with red and green decorative design over boards; gilt edges. ,1842,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,,"Günther; v. Heiden; Neumann, E.; Dingelstedt, F.; Voigt, F.",,PT19.R8 v16,,
buch_065,record,Rosen und Vergissmeinnicht ,,White paper with blue and brown decorative design over boards; gilt edges. ,1843,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; essays. ,,,Günther; Müller.,,PT19.R8 v17,,
buch_066,record,Rosen und Vergissmeinnicht ,,White paper with red and green decorative design over boards; gilt edges. ,1844,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas; romantic stories.,,,"Köhler; Isidor; George; Tasse, P.",Absent 1986 catalog.,PT19.R8 v18,,
buch_067,record,Rosen und Vergissmeinnicht ,,Partially rebound 1/4 blue cloth with blue paper over boards; gilt edges.,1845,Rosen und Vergissmeinnicht ,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays ; stories. ,,,"Bachmann, W.; Isidor; Köhler, L.; Norder, M.",,PT19.R8 v19,,
buch_068,record,Rosen und Vergissmeinnicht ,,Pink embossed floral paper over boards; gilt edges. ,1847,Rosen und Vergissmeinnicht ,Leipzig, C. Berger's Buchhandlung,12.3874,51.3434,Stories ; historic novellas. ,,"Bourdin, Louis",Bourdin; v. Nottingham.,,PT19.R8 v20,,
buch_069,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1816,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Novellas ; poetry ; essays.,,"Schütze, St. ","Schütze; De La Motte Fouque; Haug; Brachmann, Luise; Schreiber, Alois.",,PT19.F9 v1,,
buch_070,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1818,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Drama ; poetry ; romance. ,,"Schütze, St. ","Schütze; Schreiber, A.; Haug; Brachmann, L.; Döring, H.",,PT19.F9 v2,,
buch_071,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1819,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; tales. ,,"Schütze, St. ","Schütze; Chezy; Langbein; Willmar, W.; Brachmann, L.; Laun; Haug.",,PT19.F9 v3,,
buch_072,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1820,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; stories. ,,"Schütze, St. ",Döring; Castelli; Schütze; Laun; Haug.,,PT19.F9 v4,,
buch_073,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1821,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; novellas ; essays ; stories. ,,"Schütze, St. ",Helmina von Chezy; Laun; Lohmann; Schütze; Schilling; Brachmann.,,PT19.F9 v5,,
buch_074,record,Der Wintergarten,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,1822,Der Wintergarten,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; songs ; essays ; tales. ,,"Schütze, St. ",Laun; Sternheim; Rassman; Döring; v. Hohenhausen; Kannegiesser; Schütze.,,PT19.F9 v6,,
buch_075,record,Gaben der Milde: Erstes Bändchen,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,1817,Gaben der Milde: Erstes Bändchen,Berlin, F. W. Gubitz,,,Novellas ; essays.,,,"Helmina von Chezy; Horn, F.; Stein, K.; De La Motte Fouque; Jördens, G.","Der Sieg der Treue: Eine Novelle, nach dem Spanischen by Helmina von Chezy",Pt19.G17 v1,,
buch_076,record,Gaben der Milde: Zweites Bändchen,,Blue paper over boards; yellow spine label. ,1817,Gaben der Milde: Zweites Bändchen,Berlin, F. W. Gubitz,,,Novellas; tales; essays; poetry.,,,Goethe; Gubitz; Hensel; Brentano; Hoffmann; Hell.,Wonne des Gebens by Goethe; Erscheinungen by Hoffmann.,Pt19.G17 v2,,
buch_077,record,Gaben der Milde: Drittes Bändchen,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,1818,Gaben der Milde: Drittes Bändchen,Berlin, F. W. Gubitz,,,Dialogue of Abelard & Heloise ; poetry ; parables ; essays ; tales. ,,,Gubitz; Günsberg; Pergold; Büschenthal; Haug; Velhar.,,Pt19.G17 v3,,
buch_078,record,Gaben der Milde: Viertes Bändchen,,Blue paper over boards; yellow spine label. ,1818,Gaben der Milde: Viertes Bändchen,Berlin, F. W. Gubitz,,,Drama ; essays ; tales. ,,,v. Arnim; Hebaklius; Müller; Voss; Gubitz; Ludwig; Velhar.,,Pt19.G17 v4,,
buch_079,record,Ganz Neuer Taschen-Kalender auf das Gemeinjahr der gnadenreichen Geburt Jesu Christi 1794,Former owner's manuscript: [illegible],Stamped green paper over boards in a white decorated sheath. ,1794,Ganz Neuer Taschen-Kalender auf das Gemeinjahr der gnadenreichen Geburt Jesu Christi 1794,Augsburg, J. Bapt. Rösl,,,Calendar ; schedules of markets and fairs. ,Miniature Edition.,"Rambacher, Ant. Reg. ",,,PT19.G2,,
buch_080,record,Agrionien: Ein Taschenbuch für das gesellige Vergnügen,Former owner's stamp: [illegible],Green paper wrapper,1811,Agrionien: Ein Taschenbuch für das gesellige Vergnügen,Leipzig, Gerhard Fleischer dem Juengeren,,,Poetry ; calendar ; games. Some poems in French.,,"Hell, Th.","Apel, Laun, Kind",,PT19.A23,,
