call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.M967,record,,Spattered gray paper over boards; spine label. ,1800,Musenalmanach für 1800,Neu Strelitz. Ferdinand Albanus,,,,Poetry ; songs ; stories.,,"Voss, J. H.",Voss; Haug.,,,,,,,
PT19.P3 v2,record,,Black paste paper over boards; manucript spine label with year.,1846,Payne's Miniatur Almanac für 1846,London und Leipzig, Brain und Payne,,,Poetry ; essays ; stories.,,,"Böttger; Drobisch, Th.; Delius, N.",This collection is engraving heavy.,,,,,,
PT19.P3 v3,record,,Black paste paper over boards; manucript spine label with year.,1847,Payne's Miniatur Almanac für 1847,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Poetry ; stories ; essays ; songs.,,,Böttger; Delius; ölckers; Drobisch; Dittmar,,,,,,,
PT19.P3 v4,record,,Black paste paper over boards; manucript spine label with year.,1848,Payne's Miniatur Almanac für 1848,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Calendar ; poetry ; stories.,,,Drobisch; Meissner; Kauffer,Calendar has both Catholic & Prostestant dates,,,,,,
PT19.P3 v5,record,,Black paste paper over boards; manucript spine label with year.,1849,Payne's Miniatur Almanac für 1849,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays.,,,Görling; Kauffer.,,,,,,,
PT19.P3 v6,record,,Black paste paper over boards; manucript spine label with year.,1850,Payne's Miniatur Almanac für 1850,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories.,,,Görling; Kauffer.,,,,,,,
PT19.P3 v7,record,,Black paste paper over boards; manucript spine label with year.,1851,Payne's Miniatur Almanac für 1851,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories ; novellas.,,,Görling; Kauffer; Scribano.,,,,,,,
PT19.P3 v8,record,,Black paste paper over boards; manucript spine label with year.,1852,Payne's Miniatur Almanac für 1852,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar; poetry ; novellas ; stories ; fables.,,,"Görling, A.; Norden, M.; Hartmann J. E.; Pabst, J.; Frick, Ida; Boas, Eduard.",,,,,,,
PT19.P3 v9,record,,Black paste paper over boards; manucript spine label with year.,1853,Payne's Miniatur Almanac für 1853,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; novellas ; stories.,,,"Görling, A.; v. Glümer, Clara; Frick, I.",,,,,,,
PT19.P3 v10,record,,Black paste paper over boards; manucript spine label with year.,1854,Payne's Miniatur Almanac für 1854,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories.,,,"Görling, A; Rosenheyn; Kloberg; Hartmann.",,,,,,,
